Clause/Provision Number,Title,Date,Prescribed In,Provision or Clause,UCF,IBR or FT,Fill In,Mod or Sub,App Dev,Supply FP,Supply CR,R&D FP,R&D CR,Service FP,Service CR,Construction FP,Construction CR,Time & Material/ Labor Hour,Archetecture & Engineering,Idefinite Delivery,Transportation,Simplified Acquisition Procedures,Commercial Items
1852.232-82,Submission of Request for Progress Payments,MAR 1989,1832.502-470,C,G,FT,,X,PCD 89-35,O,,O,,O,,O,,O,,O,O,,
1852.233-70,Protest to NASA,SEP 2025 (DEVIATION),1833.107-70,P,L,IBR,,,PPD 25-35,R,R,R,R,R,R,R,R,R,,R,R,A,
1852.234-1,Notice of Earned Value Management System,JUN 2025 (DEVIATION),1834.203-70 (a),P,L,FT,,,PCD 25-05A,A,A,A,A,A,A,A,A,A,,,,,
1852.234-2,Earned Value Mangement System,JUN 2025 (DEVIATION),1834.203-70 (b),C,I,FT,,,PCD 25-05A,A,A,A,A,A,A,A,A,A,,,,,
1852.234-2,Alternate I,JUN 2025 (DEVIATION),1834.203-70(b),C,I,IBR,,,PCD 25-05A,A,A,A,A,A,A,A,A,A,,,,,
1852.235-70,NASA Scientific and Technical Information (STI) Compliance and Distribution Services,AUG 2025 (DEVIATION),1835.101-70(a),C,I,IBR,,,PCD 25-13,,A,R,R,,,,,A,,,,A,
1852.235-71,Essential Personnel and Facilities,AUG 2025 (DEVIATION),1835.101-70 (b),C,H,FT,X,,PCD 25-13,,,,A,A,A,A,,A,,,,,
1852.235-72,Instructions for Responding to NASA Research Announcements,AUG 2025 (DEVIATION),1835.101-70(c),P,L,IBR,,,PCD 25-13,,,,A,A,A,A,A,A,,,,O,
1852.235-73,Final Scientific and Technical Reports,SEP 2025 (DEVIATION),1835.101-70(d),C,H,IBR,,,PCD 25-13,,A,R,R,,,,,,,,,A,
1852.235-74,Additional Reports of Work - Research and Development,SEP 2025 (DEVIATION),1835.101-70(e ),C,H,FT,X,X,PCD 25-13,,A,A,A,,,,,,,,,A,
1852.236-71,Additive or Deductive Items,AUG 2025 (DEVIATION),1836.101-770(b),P,L,IBR,,,PCD 25-14,,,,,,,A,,,,,,,
1852.236-72,Bids with Unit Prices,AUG 2025 (DEVIATION),1836.101-770(c),P,L,IBR,,,PCD 25-14,,,,,,,A,,,,,,,
1852.236-73,Hurrican Plan,AUG 2025 (DEVIATION),1836.101-770(d),C,I,IBR,,,PCD 25-14,,,,,,,A,A,,,,,,
1852.236-75,Partnering for Construction Contracts,AUG 2025 (DEVIATION),1836.7004,C,H,FT,X,,PCD 25-14,,,,,,,O,O,,,,,,
1852.237-70,Emergency Evacuation Procedures,DEC 2025 (DEVIATION),1837.802-71 (a),C,I,IBR,,,PCD 25-40,,,A,A,A,,A,A,A,,,A,,A
1852.237-71,Pension Portability,DEC 2025 (DEVIATION),1837.802-71(b),C,I,IBR,,,PCD 25-40,,,,,A,A,,,,,,,,
1852.237-72,Access to Sensitive Information,DEC 2025 (DEVIATION),1837.802-71( c),C,I,IBR,,,PCD 25-40,,,A,A,A,A,,,,,A,,A,A
1852.237-73,Release of Sensitive Information,DEC 2025 (DEVIATION),1837.802-71(d),C,I,IBR,,,PCD 25-40,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1852.239-70,Authorization for Radio Frequency Use,2026-03-01,1839.7001,C,G,IBR,,,PCD 26-06A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
